51	Q0	12971406	1	1	tag
51	Q0	12788709	2	0.95	tag
51	Q0	12569671	3	0.9	tag
51	Q0	12469321	4	0.85	tag
51	Q0	12209789	5	0.8	tag
51	Q0	11938726	6	0.75	tag
51	Q0	11831478	7	0.7	tag
51	Q0	11514534	8	0.65	tag
51	Q0	11510122	9	0.6	tag
51	Q0	11189372	10	0.55	tag
52	Q0	14631632	1	1	tag
52	Q0	14625142	2	0.95	tag
52	Q0	14602871	3	0.9	tag
52	Q0	14602829	4	0.85	tag
52	Q0	14583455	5	0.8	tag
52	Q0	14583240	6	0.75	tag
52	Q0	14581564	7	0.7	tag
52	Q0	14581414	8	0.65	tag
52	Q0	14562050	9	0.6	tag
52	Q0	14559787	10	0.55	tag
53	Q0	14666454	1	1	tag
53	Q0	14657160	2	0.95	tag
53	Q0	14645472	3	0.9	tag
53	Q0	14638736	4	0.85	tag
53	Q0	14638726	5	0.8	tag
53	Q0	14627632	6	0.75	tag
53	Q0	14623122	7	0.7	tag
53	Q0	14612389	8	0.65	tag
53	Q0	14611687	9	0.6	tag
53	Q0	14600428	10	0.55	tag
54	Q0	14585977	1	1	tag
54	Q0	14560951	2	0.95	tag
54	Q0	12961753	3	0.9	tag
54	Q0	12933875	4	0.85	tag
54	Q0	12933839	5	0.8	tag
54	Q0	12904388	6	0.75	tag
54	Q0	12892934	7	0.7	tag
54	Q0	12892633	8	0.65	tag
54	Q0	12854511	9	0.6	tag
54	Q0	12845565	10	0.55	tag
54	Q0	12833677	11	0.5	tag
54	Q0	12798001	12	0.45	tag
54	Q0	12743044	13	0.4	tag
54	Q0	12734193	14	0.35	tag
54	Q0	12654648	15	0.3	tag
55	Q0	14611817	1	1	tag
55	Q0	14592982	2	0.95	tag
55	Q0	14583738	3	0.9	tag
55	Q0	14582195	4	0.85	tag
55	Q0	14581449	5	0.8	tag
55	Q0	14576321	6	0.75	tag
55	Q0	14563313	7	0.7	tag
55	Q0	14555978	8	0.65	tag
55	Q0	14530408	9	0.6	tag
55	Q0	14530383	10	0.55	tag
55	Q0	12954010	11	0.5	tag
55	Q0	12941802	12	0.45	tag
55	Q0	12941702	13	0.4	tag
55	Q0	12934006	14	0.35	tag
55	Q0	12926989	15	0.3	tag
55	Q0	12915400	16	0.25	tag
55	Q0	12915181	17	0.2	tag
55	Q0	12891711	18	0.15	tag
55	Q0	12878854	19	0.1	tag
55	Q0	12866056	20	0.05	tag
55	Q0	12853613	21	0.04	tag
55	Q0	12851391	22	0.03	tag
55	Q0	12842467	23	0.02	tag
55	Q0	12812077	24	0.01	tag
55	Q0	12805620	25	0.005	tag
